timeStep pedestrianId speedInAreaUsingAgentVelocity-PID6 sk-PID7 kNearestNeighbors-PID7
4 22 -1.0 N/A N/A
4 23 -1.0 N/A N/A
4 24 -1.0 N/A N/A
4 25 -1.0 N/A N/A
4 26 -1.0 N/A N/A
4 27 -1.0 N/A N/A
4 28 -1.0 N/A N/A
4 29 -1.0 N/A N/A
4 30 -1.0 N/A N/A
5 1 -1.0 N/A N/A
5 2 -1.0 N/A N/A
5 3 -1.0 N/A N/A
5 4 -1.0 N/A N/A
5 5 -1.0 N/A N/A
5 6 -1.0 N/A N/A
5 7 -1.0 N/A N/A
5 8 -1.0 N/A N/A
5 9 -1.0 N/A N/A
5 10 -1.0 N/A N/A
5 11 -1.0 N/A N/A
5 12 -1.0 N/A N/A
5 13 1.2038966995207363 4.186971091354713 0.39236752322909396 0.7019346296512605 2.348855201712812 0.06611216680549425 3.351733096936183 0.6369212697973445 3.984158397199714 0.11224562353188094 -4.262134466804078 0.5760934716364048 4.5158898189750865 0.6489285975625565 5.181369114955949 0.24576422385450591 5.343855251418162 0.8353572022356772 -5.434371946859304 0.28194501318162146 -6.386246927384377 0.632797856208926
5 14 -1.0 N/A N/A
5 15 1.2290053865546162 4.240796090831319 -1.1722374800552267 -0.2941484584547833 -2.1241124605802995 0.05670438457252125 -3.2055280641328885 -0.5132018210826823 4.262134466804078 -0.5760934716364048 -4.381676309278442 0.07522379166979842 -4.529938306860545 -0.49828133781000794 4.654501990033172 0.12584115801485574 -5.2731662040017895 -0.25458957854749364 -6.0186439615725895 0.18691370970911692 6.61098966851689 -0.5099813048309105
5 16 -1.0 N/A N/A
5 17 -1.0 N/A N/A
5 18 -1.0 N/A N/A
5 19 1.3696212527033202 4.062617264012458 -0.39236752322909396 -0.7019346296512605 1.9564876784837182 -0.6358224628457663 2.959365573707089 -0.06501335985391599 3.59179087397062 -0.5896890061193796 4.1235222957459925 -0.053006032088704025 -4.654501990033172 -0.12584115801485574 4.789001591726855 -0.4561704057967546 4.951487728189068 0.1334225725844167 -5.826739470088398 -0.41998961646963906 -6.778614450613471 -0.06913677344233449
5 21 -1.0 N/A N/A
5 22 -1.0 N/A N/A
5 23 -1.0 N/A N/A
5 24 -1.0 N/A N/A
5 25 -1.0 N/A N/A
5 26 -1.0 N/A N/A
5 27 -1.0 N/A N/A
5 28 -1.0 N/A N/A
5 29 -1.0 N/A N/A
5 30 -1.0 N/A N/A
6 1 -1.0 N/A N/A
6 2 -1.0 N/A N/A
6 3 -1.0 N/A N/A
6 4 -1.0 N/A N/A
6 5 -1.0 N/A N/A
6 6 -1.0 N/A N/A
6 7 -1.0 N/A N/A
6 8 -1.0 N/A N/A
6 9 -1.0 N/A N/A
6 10 -1.0 N/A N/A
6 11 -1.0 N/A N/A
6 12 -1.0 N/A N/A
6 13 -1.0 N/A N/A
6 14 -1.0 N/A N/A
6 15 1.18898227299434 4.236406018831788 -1.0759482820205477 -0.3110922284527824 -1.99744326953358 0.03976061457452218 -3.509537232671814 -0.39515076333968047 3.9097446909983447 0.10889738801685667 4.260195810161349 -0.36156942982465257 -4.520595635369947 -0.5003716061835428 -4.573202731765043 0.019825391108904356 -6.0179235030366165 -0.2715333485454927 -6.07908915697897 0.382561253225437 6.269624056619275 -0.5194516000344152
6 16 -1.0 N/A N/A
6 17 1.3156363157029383 3.8048059484362637 -0.9214949875130323 0.3508528430273046 1.0759482820205477 0.3110922284527824 -2.4335889506512665 -0.08405853488689807 -3.4446473533493993 -0.18927937773076042 -3.4972544497444957 0.33091761956168675 -4.941975221016069 0.03955887990728968 4.985692973018892 0.41998961646963906 -5.003140874958422 0.6936534816782194 5.336144092181897 -0.05047720137187017 -6.211057150322887 -0.06408196384628084
6 18 -1.0 N/A N/A
6 19 1.3696212527033202 3.968207452335913 0.3504511191630044 -0.47046681784150923 2.3598793656209303 -0.6283489880512718 2.959365573707089 -0.06501335985391599 3.59179087397062 -0.5896890061193796 -3.9097446909983447 -0.10889738801685667 4.1235222957459925 -0.053006032088704025 -4.985692973018892 -0.41998961646963906 5.410522351239848 -0.4776021561247905 5.6757418737919 0.0033534768280496507 -5.907187960531925 -0.06913677344233449
6 21 -1.0 N/A N/A
6 22 -1.0 N/A N/A
6 23 -1.0 N/A N/A
6 24 -1.0 N/A N/A
6 25 -1.0 N/A N/A
6 26 -1.0 N/A N/A
6 27 -1.0 N/A N/A
6 28 -1.0 N/A N/A
6 29 -1.0 N/A N/A
6 30 -1.0 N/A N/A
7 1 -1.0 N/A N/A
7 2 -1.0 N/A N/A
7 3 -1.0 N/A N/A
7 4 -1.0 N/A N/A
7 5 -1.0 N/A N/A
7 6 -1.0 N/A N/A
7 7 -1.0 N/A N/A
7 8 -1.0 N/A N/A
7 9 -1.0 N/A N/A
7 10 -1.0 N/A N/A
7 11 -1.0 N/A N/A
7 12 -1.0 N/A N/A
7 13 -1.0 N/A N/A
7 14 -1.0 N/A N/A
7 15 1.229005386554617 4.312632585517049 -0.961919866165033 -0.05734991347084506 -2.7244613507475712 0.2935029295564595 -3.540477658300553 0.061368018874845554 3.975932748170692 0.32601235295941944 4.239856425884945 -0.28748034580121207 -4.4933674755877 -0.24662929120160548 -5.300220812979035 0.2735677060908417 5.542605975405284 -0.2657092850524778 -6.133287985654231 -0.15369573313032703 -6.128948210042781 0.5204258563147235
7 16 -1.0 N/A N/A
7 17 1.3156363157029383 4.014570881078622 0.961919866165033 0.05734991347084506 -1.7625414845825382 0.3508528430273046 -2.57855779213552 0.11871793234569061 -3.531447609422667 -0.18927937773076042 -4.338300946814002 0.33091761956168675 4.937852614335725 0.3833622664302645 -5.171368119489198 -0.09634581965948197 -5.167028343877748 0.5777757697855685 5.201776292049978 -0.230130432330367 -6.384854078407383 -0.06408196384628084
7 18 -1.0 N/A N/A
7 19 -1.0 N/A N/A
7 21 -1.0 N/A N/A
7 22 -1.0 N/A N/A
7 23 -1.0 N/A N/A
7 24 -1.0 N/A N/A
7 25 -1.0 N/A N/A
7 26 -1.0 N/A N/A
7 27 -1.0 N/A N/A
7 28 -1.0 N/A N/A
7 29 -1.0 N/A N/A
7 30 -1.0 N/A N/A
8 1 1.5107170551355318 3.5534154985752764 0.972811227946142 -0.32362076521225713 -1.6057465641893778 -0.20490283286656652 1.934731094111175 -0.2662708517414121 -2.558636381476525 -0.5129001429430176 -2.8281118765597704 0.14429399291206035 -3.4815776413069877 -0.5844485730474345 -4.194217115931606 0.2541550045733114 -5.412042850461241 -0.387702729058538 -6.13707399533123 0.12663197644825352 6.17458751999612 -0.5537511975426241
8 2 -1.0 N/A N/A
8 3 -1.0 N/A N/A
8 4 -1.0 N/A N/A
8 5 -1.0 N/A N/A
8 6 -1.0 N/A N/A
8 7 -1.0 N/A N/A
8 8 -1.0 N/A N/A
8 9 -1.0 N/A N/A
8 10 -1.0 N/A N/A
8 11 -1.0 N/A N/A
8 12 -1.0 N/A N/A
8 13 -1.0 N/A N/A
8 14 -1.0 N/A N/A
8 15 1.229005386554617 4.264424479186486 -0.961919866165033 -0.05734991347084506 -1.934731094111175 0.2662708517414121 -3.540477658300553 0.061368018874845554 4.239856425884945 -0.28748034580121207 -4.4933674755877 -0.24662929120160548 4.733710297536842 0.0887556851473077 -4.762842970670945 0.4105648446534724 -5.416308735418163 -0.3181777213060224 -6.128948210042781 0.5204258563147235 6.343097700099367 -0.164044035316242
8 16 -1.0 N/A N/A
8 17 1.3156363157029383 3.8887071746687942 0.961919866165033 0.05734991347084506 -0.972811227946142 0.32362076521225713 -2.57855779213552 0.11871793234569061 -3.531447609422667 -0.18927937773076042 -3.8009231045059124 0.4679147581243175 -4.45438886925313 -0.26082780783517734 -5.167028343877748 0.5777757697855685 5.201776292049978 -0.230130432330367 5.695630163701875 0.14610559861815275 -6.384854078407383 -0.06408196384628084
8 18 -1.0 N/A N/A
8 19 -1.0 N/A N/A
8 21 -1.0 N/A N/A
8 22 -1.0 N/A N/A
8 23 -1.0 N/A N/A
8 24 -1.0 N/A N/A
8 25 -1.0 N/A N/A
8 26 -1.0 N/A N/A
8 27 -1.0 N/A N/A
8 28 -1.0 N/A N/A
8 29 -1.0 N/A N/A
8 30 -1.0 N/A N/A
9 1 1.6660079318380694 3.6781043732641088 0.9237398211220587 -0.024167458025739386 -1.7515680764364099 -0.2900400985276006 1.8392065261475175 -0.1652467029618112 -2.715353836838535 -0.2511480520739706 -3.182207248283202 0.14421710313928582 -4.347128476890436 -0.4834244242678336 -4.6488023523093815 0.1817494367052115 -5.610344117059679 -0.2866785802789371 5.802890556064568 -0.07649101781450351 5.835853832867162 -0.6787974781613499
9 3 -1.0 N/A N/A
9 4 -1.0 N/A N/A
9 5 -1.0 N/A N/A
9 6 -1.0 N/A N/A
9 7 -1.0 N/A N/A
9 8 -1.0 N/A N/A
9 9 -1.0 N/A N/A
9 10 -1.0 N/A N/A
9 11 -1.0 N/A N/A
9 12 -1.0 N/A N/A
9 13 -1.0 N/A N/A
9 14 -1.0 N/A N/A
9 15 1.2290053865546167 4.251380746176129 -0.9154667050254588 0.14107924493607182 -1.8392065261475175 0.1652467029618112 -3.5907746025839273 -0.12479339556578939 3.963684029917051 0.0887556851473077 3.9966473067196446 -0.5135507751995387 -4.554560362986052 -0.08590134911215941 -5.0214137744307195 0.309463806101097 5.874859830798393 -0.09863384828585353 -6.186335003037954 -0.3181777213060224 -6.488008878456899 0.3469961396670227
9 16 -1.0 N/A N/A
9 17 1.314383596393447 3.95358927975724 -0.9237398211220587 0.024167458025739386 0.9154667050254588 -0.14107924493607182 -2.6753078975584685 -0.2658726405018612 -3.6390936579605935 -0.22698059404823123 -4.105947069405261 0.1683845611650252 4.87915073494251 -0.05232355978876413 4.912114011745103 -0.6546300201356106 -5.270868298012495 -0.4592569662420942 -5.57254217343144 0.20591689473095087 -6.5340839381817375 -0.2625111222531977
9 18 -1.0 N/A N/A
9 19 -1.0 N/A N/A
9 21 -1.0 N/A N/A
9 22 -1.0 N/A N/A
9 23 -1.0 N/A N/A
9 24 -1.0 N/A N/A
9 25 -1.0 N/A N/A
9 26 -1.0 N/A N/A
9 27 -1.0 N/A N/A
9 28 -1.0 N/A N/A
9 29 -1.0 N/A N/A
9 30 -1.0 N/A N/A
